ag_name;ep_name;ep_seq;immunogenicity;clearance
TypeI;PrM    ;11111111111111111111;0.85;0.1
TypeI;FL     ;22222222222222222222;1.50;1.0
TypeI;D3     ;33333333333333333333;1.15;1.0
TypeI;Hinge  ;44444444444444444444;1.50;1.0
TypeII;PrM   ;11111111111111111111;0.85;0.1
TypeII;FL    ;22222222222222222223;1.50;1.0
TypeII;D3    ;33333333333333334444;1.15;1.0
TypeII;Hinge ;44444444444444411111;1.50;1.0
TypeIII;PrM  ;11111111111111111111;0.85;0.1
TypeIII;FL   ;22222222222222222224;1.50;1.0
TypeIII;D3   ;33333333333333331111;1.15;1.0
TypeIII;Hinge;44444444444444422222;1.50;1.0
TypeIV;PrM   ;11111111111111111111;0.85;0.1
TypeIV;FL    ;22222222222222222221;1.50;1.0
TypeIV;D3    ;33333333333333332222;1.15;1.0
TypeIV;Hinge ;44444444444444433333;1.50;1.0
TypeV;PrM    ;11111111111111111111;0.85;0.1
TypeV;FL     ;22222222222222222221;1.50;1.0
TypeV;D3     ;33333333333333332222;1.15;1.0
TypeV;Hinge  ;44444444444444433333;1.50;1.0
